year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,281613305.97029936,24813751.975182693,3970200316.029231,4842944733.531751,8813145049.560982
2030,NT,300277396.944892,20280313.736716278,3244850197.874604,3953798957.4714174,7198649155.346022
2040,DE,375871270.2853298,26237069.029645577,4197931044.743293,5130591173.324377,9328522218.067669
2040,GA,333853085.652698,19493386.336085632,3118941813.773701,3805181383.001463,6924123196.775165
2040,NT,366868404.1817097,24755129.57605917,3960820732.169467,4841733169.097726,8802553901.267193
2050,DE,406088341.0127768,28952545.685614746,4632407309.6983595,5593757322.2119665,10226164631.910326
2050,GA,359651068.46144235,21111488.531661138,3377838165.0657825,4126022157.743503,7503860322.809285
