year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,48228.20428491477,33756.13297231075,51,39,3757597617.2441154,281613305.97029936,24813751.975182693,3970200316.029231,4842944733.531751,8813145049.560982,12570742666.805098
2030,48228.20428491477,30702.55333310133,51,33,3334006647.811989,300277396.944892,20280313.736716278,3244850197.874604,3953798957.4714174,7198649155.346022,10532655803.15801
2040,48228.20428491477,25501.718960134334,51,24,2734488374.7627544,358864253.37324584,23495194.980596796,3759231196.895487,4592501908.474522,8351733105.370008,11086221480.132763
2050,48228.20428491477,8917.175794400951,51,13,529181291.7936919,382869704.73710954,25032017.108637944,4005122737.382071,4859889739.977735,8865012477.359806,9394193769.153498
