year,DE,GA,NT,Average
2025,,,27.950344980689742,27.950344980689742
2030,,,20.050188805776813,20.050188805776813
2040,33.04679202080629,20.740077317635777,25.100638002886583,26.295835780442886
2050,44.27891330331877,24.515373775329266,,34.39714353932402
