snapshot,ES1 0 bat,ES1 1 bat,ES1 2 bat,ES1 3 bat,ES1 4 bat,ES1 5 bat,ES1 6 bat,ES1 7 bat,ES1 8 bat,PT1 0 bat,PT1 1 bat
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,4309.162253985045,10784.184471979182,0.0,4436.847316871931
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1399.7607229674122,4309.162253985045,14004.598837187172,0.0,4436.847316871931
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1163.5989070022815,11865.764479395455,11258.522997415152,0.0,4646.561286618816
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,17632.692023208256,10784.184471979182,0.0,4436.847316871931
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,22882.417146956403,10784.184471979182,0.0,4436.847316871931
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,21785.135624549897,16271.979726032192,0.0,4436.847316871931
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1399.7607229674122,27777.372780522695,13525.903886260172,0.0,4436.847316871931
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1163.5989070022815,26680.09125811619,14048.543513655668,0.0,8254.76629064091
2013-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,15769.787636823741,32346.773069951487,0.0,7124.971149128156
2013-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,5471.878837119189,14672.506114417236,39493.33548471836,0.0,10194.901463715225
2013-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,5235.717021154058,15760.468451586086,54467.16673873075,0.0,9065.106322202471
2013-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4999.555205188927,14663.186929179581,72375.94970719394,0.0,11095.683812307943
2013-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4763.3933892237965,13565.905406773076,92769.1929256849,0.0,13490.816147343943
2013-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,31871.476377057486,90023.11708591288,0.0,15763.583163115258
2013-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,38782.4602858654,87692.46622022486,0.0,29840.185521627383
2013-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,38782.4602858654,97057.66024781263,0.0,32778.00845297085
2013-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,38534.66985904926,97057.66024781263,0.0,31648.213311458094
2013-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3945.5845488214663,37437.388336642754,94311.5844080406,0.0,30518.41816994534
2013-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3709.4227328563356,36340.10681423625,91565.50856826857,0.0,23312.406699441428
2013-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3473.260916891205,33624.61877679796,88819.43272849655,0.0,15750.226088157702
2013-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1384.2465505044488,38782.4602858654,76448.11230290854,0.0,14620.430946644949
2013-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1399.7607229674122,16570.28371893218,92333.36879977823,0.0,13490.635805132195
2013-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1163.5989070022815,8910.4089970941,89587.2929600062,0.0,12360.840663619441
2013-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,5366.465936275959,86841.21712023419,0.0,11231.045522106688
2013-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1526.968433424531,5406.44377639155,84095.14128046217,0.0,10101.250380593934
2013-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1290.8066174594003,4309.162253985045,84645.15073964934,0.0,8971.45523908118
2013-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1054.6448014942696,4309.162253985045,86720.32935266354,0.0,7841.660097568427
2013-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1163.5989070022815,6116.364480682369,84292.27768996,0.0,10751.284099154971
2013-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,10598.00547311296,81546.20185018798,0.0,9621.488957642217
2013-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1872.0843548976736,13015.445868126137,78800.12601041596,0.0,8491.693816129464
2013-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1635.922538932543,12197.699658180636,76054.05017064394,0.0,7361.89867461671
2013-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1399.7607229674122,11100.41813577413,67386.8920909107,0.0,6232.103533103957
2013-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1163.5989070022815,4309.162253985045,64640.816251138676,0.0,5102.308391591203
2013-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,927.4370910371507,13001.202230977095,61894.740411366656,0.0,4436.847316871931
2013-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4274.815705182579,4309.162253985045,80835.27774032904,0.0,4436.847316871931
2013-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4038.6538892174485,19067.574536806187,78089.20190055702,0.0,10694.821300081503
2013-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3802.492073252318,38782.4602858654,80100.07239492555,0.0,9565.02615856875
2013-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,37685.1787634589,82145.7256873845,0.0,23174.315701009786
2013-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8110.772003369226,38782.4602858654,97057.66024781263,0.0,22044.520559497032
2013-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8346.933819334356,38782.4602858654,96877.1312454273,0.0,25875.225181821646
