scenario,year,dual_value
NT,2025,-31727.300250536853
NT,2030,-2782.224396136012
NT,2040,-33.429400991736415
GA,2040,-10388.626921923376
DE,2040,-31.017877109430135
GA,2050,-15561.087925816408
DE,2050,-14186.273716803906
