year,DE,GA,NT,Average
2025,,,63.833924045022414,63.833924045022414
2030,,,56.9824517452102,56.9824517452102
2040,58.6197307406742,53.46054808030715,57.242733006580906,56.44100394252075
2050,77.39949359858906,53.78042270883449,,65.58995815371178
