year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,14784,38,0.25703463203463206
2030,NT,14784,85,0.5749458874458874
2040,DE,14784,76,0.5140692640692641
2040,GA,14784,72,0.487012987012987
2040,NT,14784,75,0.5073051948051948
2050,DE,14784,84,0.5681818181818182
2050,GA,14784,120,0.8116883116883116
