dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,0,0,0.0
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,0,0,0.0
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,15898,17.78777300393842
branch_flow_new_duals_min,89376,33637,37.635383100608664
branch_flow_old_duals_max,89376,10888,12.182241317579663
branch_flow_old_duals_min,89376,33632,37.62978875760831
emissions_duals,7,7,100.0
gen_extension_duals,204,45,22.058823529411764
gen_output_new_duals,239904,135890,56.64349072962518
gen_output_old_duals,239904,136008,56.69267707082833
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
