year,DE,GA,NT,Average
2025,,,82.58889016488905,82.58889016488905
2030,,,19.48394114145285,19.48394114145285
2040,23.32895867915344,17.71396938407187,22.145260971790915,21.06272967833874
2050,74.42945480415892,21.297492405757534,,47.86347360495823
