year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,53503.89353591144,53503.89353591144,1174887982.163601,152.1992969189466
2030,0,0.0,53503.89353591144,0.0,174.2956728773276
2040,0,0.0,53503.89353591144,0.0,192.77490017484993
2050,0,0.0,53503.89353591144,0.0,192.8184503412181
