year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,7392,101,1.3663419913419914
2030,NT,7392,10,0.13528138528138528
2040,DE,7392,12,0.16233766233766234
2040,GA,7392,87,1.176948051948052
2040,NT,7392,4,0.05411255411255411
2050,DE,7392,18,0.2435064935064935
2050,GA,7392,54,0.7305194805194805
