year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,18770.6620219088,19,6,319146780.3305695
2030,95000,13027.41943868466,19,3,216551262.7529294
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
