year,AIC,expected_OC,total_cost
2025,15740361581.665144,6379512106.512618,22119873688.17776
2030,3585739600.1874466,1130853956.2038147,4716593556.391261
2040,1189471300.489934,1660059761.2297912,2849531061.719725
2050,0.0,2129436531.9122152,2129436531.9122152
