year,line,bus0,bus1,p_max,capital_cost,length,loss_factor,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
2025,88,ES1 0,ES1 3,2189.658630928575,23102.962585711957,449.2979885607983,0.0172501492480345,True,5000,5000.0,5000.0,5000,7189.658630928575
2030,88,ES1 0,ES1 3,2189.658630928575,23102.962585711957,449.2979885607983,0.0172501492480345,True,5000,5000.0,10000.0,10000,12189.658630928574
2040,88,ES1 0,ES1 3,2189.658630928575,23102.962585711957,449.2979885607983,0.0172501492480345,True,5000,5000.0,15000.0,15000,17189.658630928574
2050,88,ES1 0,ES1 3,2189.658630928575,23102.962585711957,449.2979885607983,0.0172501492480345,True,5000,0.0,15000.0,20000,17189.658630928574
2025,89,ES1 0,ES1 6,6568.975892785725,11729.199350286328,228.10519023094668,0.0087577702903575,True,5000,2726.2855825801034,2726.2855825801034,5000,9295.261475365827
2030,89,ES1 0,ES1 6,6568.975892785725,11729.199350286328,228.10519023094668,0.0087577702903575,True,5000,5000.0,7726.285582580103,10000,14295.261475365827
2040,89,ES1 0,ES1 6,6568.975892785725,11729.199350286328,228.10519023094668,0.0087577702903575,True,5000,2785.5306049392566,10511.81618751936,15000,17080.792080305084
2050,89,ES1 0,ES1 6,6568.975892785725,11729.199350286328,228.10519023094668,0.0087577702903575,True,5000,0.0,10511.81618751936,20000,17080.792080305084
2025,90,ES1 1,ES1 2,8043.643950349867,16201.400425088344,315.0789253046757,0.0120970015998202,True,5000,1490.088887297788,1490.088887297788,5000,9533.732837647654
2030,90,ES1 1,ES1 2,8043.643950349867,16201.400425088344,315.0789253046757,0.0120970015998202,True,5000,0.0,1490.088887297788,10000,9533.732837647654
2040,90,ES1 1,ES1 2,8043.643950349867,16201.400425088344,315.0789253046757,0.0120970015998202,True,5000,0.0,1490.088887297788,15000,9533.732837647654
2050,90,ES1 1,ES1 2,8043.643950349867,16201.400425088344,315.0789253046757,0.0120970015998202,True,5000,0.0,1490.088887297788,20000,9533.732837647654
2025,91,ES1 1,ES1 4,7775.522485338205,22150.02802991657,430.765664943838,0.0165386273706955,True,5000,5000.0,5000.0,5000,12775.522485338206
2030,91,ES1 1,ES1 4,7775.522485338205,22150.02802991657,430.765664943838,0.0165386273706955,True,5000,0.0,5000.0,10000,12775.522485338206
2040,91,ES1 1,ES1 4,7775.522485338205,22150.02802991657,430.765664943838,0.0165386273706955,True,5000,0.0,5000.0,15000,12775.522485338206
2050,91,ES1 1,ES1 4,7775.522485338205,22150.02802991657,430.765664943838,0.0165386273706955,True,5000,0.0,5000.0,20000,12775.522485338206
2025,92,ES1 1,ES1 5,1698.1026117405274,19884.672096365382,386.7098491348174,0.0148471677663828,True,5000,1885.9432763578093,1885.9432763578093,5000,3584.045888098337
2030,92,ES1 1,ES1 5,1698.1026117405274,19884.672096365382,386.7098491348174,0.0148471677663828,True,5000,0.0,1885.9432763578093,10000,3584.045888098337
2040,92,ES1 1,ES1 5,1698.1026117405274,19884.672096365382,386.7098491348174,0.0148471677663828,True,5000,0.0,1885.9432763578093,15000,3584.045888098337
2050,92,ES1 1,ES1 5,1698.1026117405274,19884.672096365382,386.7098491348174,0.0148471677663828,True,5000,0.0,1885.9432763578093,20000,3584.045888098337
2025,93,ES1 1,ES1 7,8267.078504526251,18153.44647319924,353.0416047550028,0.0135545240082136,True,5000,5000.0,5000.0,5000,13267.078504526251
2030,93,ES1 1,ES1 7,8267.078504526251,18153.44647319924,353.0416047550028,0.0135545240082136,True,5000,5000.0,10000.0,10000,18267.078504526253
2040,93,ES1 1,ES1 7,8267.078504526251,18153.44647319924,353.0416047550028,0.0135545240082136,True,5000,0.0,10000.0,15000,18267.078504526253
2050,93,ES1 1,ES1 7,8267.078504526251,18153.44647319924,353.0416047550028,0.0135545240082136,True,5000,0.0,10000.0,20000,18267.078504526253
2025,95,ES1 2,ES1 5,5094.307835221583,19007.621980539243,369.6532984242429,0.0141923060645609,True,5000,5000.0,5000.0,5000,10094.307835221583
2030,95,ES1 2,ES1 5,5094.307835221583,19007.621980539243,369.6532984242429,0.0141923060645609,True,5000,5000.0,10000.0,10000,15094.307835221583
2040,95,ES1 2,ES1 5,5094.307835221583,19007.621980539243,369.6532984242429,0.0141923060645609,True,5000,0.0,10000.0,15000,15094.307835221583
2050,95,ES1 2,ES1 5,5094.307835221583,19007.621980539243,369.6532984242429,0.0141923060645609,True,5000,0.0,10000.0,20000,15094.307835221583
2025,96,ES1 2,ES1 6,10188.615670443163,16166.893123093196,314.40783988350694,0.0120712362414877,True,5000,0.0,0.0,5000,10188.615670443163
2030,96,ES1 2,ES1 6,10188.615670443163,16166.893123093196,314.40783988350694,0.0120712362414877,True,5000,0.0,0.0,10000,10188.615670443163
2040,96,ES1 2,ES1 6,10188.615670443163,16166.893123093196,314.40783988350694,0.0120712362414877,True,5000,0.0,0.0,15000,10188.615670443163
2050,96,ES1 2,ES1 6,10188.615670443163,16166.893123093196,314.40783988350694,0.0120712362414877,True,5000,0.0,0.0,20000,10188.615670443163
2025,97,ES1 2,ES1 8,15551.044970676408,12665.400427653944,246.3120872637049,0.0094567978826347,True,5000,0.0,0.0,5000,15551.044970676408
2030,97,ES1 2,ES1 8,15551.044970676408,12665.400427653944,246.3120872637049,0.0094567978826347,True,5000,0.0,0.0,10000,15551.044970676408
2040,97,ES1 2,ES1 8,15551.044970676408,12665.400427653944,246.3120872637049,0.0094567978826347,True,5000,0.0,0.0,15000,15551.044970676408
2050,97,ES1 2,ES1 8,15551.044970676408,12665.400427653944,246.3120872637049,0.0094567978826347,True,5000,0.0,0.0,20000,15551.044970676408
2025,99,ES1 3,ES1 5,12646.3957663834,22834.217216811063,444.0715266629256,0.0170494867699623,True,5000,5000.0,5000.0,5000,17646.3957663834
2030,99,ES1 3,ES1 5,12646.3957663834,22834.217216811063,444.0715266629256,0.0170494867699623,True,5000,5000.0,10000.0,10000,22646.3957663834
2040,99,ES1 3,ES1 5,12646.3957663834,22834.217216811063,444.0715266629256,0.0170494867699623,True,5000,563.6248277696614,10563.624827769661,15000,23210.020594153062
2050,99,ES1 3,ES1 5,12646.3957663834,22834.217216811063,444.0715266629256,0.0170494867699623,True,5000,0.0,10563.624827769661,20000,23210.020594153062
2025,100,ES1 3,ES1 7,11171.72770881926,26785.811825186647,520.9206970913481,0.02,True,5000,0.0,0.0,5000,11171.72770881926
2030,100,ES1 3,ES1 7,11171.72770881926,26785.811825186647,520.9206970913481,0.02,True,5000,0.0,0.0,10000,11171.72770881926
2040,100,ES1 3,ES1 7,11171.72770881926,26785.811825186647,520.9206970913481,0.02,True,5000,0.0,0.0,15000,11171.72770881926
2050,100,ES1 3,ES1 7,11171.72770881926,26785.811825186647,520.9206970913481,0.02,True,5000,0.0,0.0,20000,11171.72770881926
2025,101,ES1 3,PT1 1,6792.41044696211,23218.797046700885,451.5506949024749,0.0173366386639573,True,5000,5000.0,5000.0,5000,11792.410446962109
2030,101,ES1 3,PT1 1,6792.41044696211,23218.797046700885,451.5506949024749,0.0173366386639573,True,5000,5000.0,10000.0,10000,16792.41044696211
2040,101,ES1 3,PT1 1,6792.41044696211,23218.797046700885,451.5506949024749,0.0173366386639573,True,5000,0.0,10000.0,15000,16792.41044696211
2050,101,ES1 3,PT1 1,6792.41044696211,23218.797046700885,451.5506949024749,0.0173366386639573,True,5000,0.0,10000.0,20000,16792.41044696211
2025,102,ES1 4,ES1 7,12154.839747195354,16089.00438169501,312.89308805408655,0.0120130795263532,True,5000,2988.096234319425,2988.096234319425,5000,15142.93598151478
2030,102,ES1 4,ES1 7,12154.839747195354,16089.00438169501,312.89308805408655,0.0120130795263532,True,5000,0.0,2988.096234319425,10000,15142.93598151478
2040,102,ES1 4,ES1 7,12154.839747195354,16089.00438169501,312.89308805408655,0.0120130795263532,True,5000,0.0,2988.096234319425,15000,15142.93598151478
2050,102,ES1 4,ES1 7,12154.839747195354,16089.00438169501,312.89308805408655,0.0120130795263532,True,5000,0.0,2988.096234319425,20000,15142.93598151478
2025,103,ES1 4,PT1 0,3396.205223481055,12149.384538159147,236.27679848395297,0.0090715074215037,True,5000,5000.0,5000.0,5000,8396.205223481054
2030,103,ES1 4,PT1 0,3396.205223481055,12149.384538159147,236.27679848395297,0.0090715074215037,True,5000,0.0,5000.0,10000,8396.205223481054
2040,103,ES1 4,PT1 0,3396.205223481055,12149.384538159147,236.27679848395297,0.0090715074215037,True,5000,0.0,5000.0,15000,8396.205223481054
2050,103,ES1 4,PT1 0,3396.205223481055,12149.384538159147,236.27679848395297,0.0090715074215037,True,5000,0.0,5000.0,20000,8396.205223481054
2025,104,ES1 5,ES1 6,8758.6345237143,16188.02980010318,314.8188982674788,0.0120870182361854,True,5000,5000.0,5000.0,5000,13758.6345237143
2030,104,ES1 5,ES1 6,8758.6345237143,16188.02980010318,314.8188982674788,0.0120870182361854,True,5000,5000.0,10000.0,10000,18758.6345237143
2040,104,ES1 5,ES1 6,8758.6345237143,16188.02980010318,314.8188982674788,0.0120870182361854,True,5000,3263.7725327664066,13263.772532766407,15000,22022.407056480704
2050,104,ES1 5,ES1 6,8758.6345237143,16188.02980010318,314.8188982674788,0.0120870182361854,True,5000,0.0,13263.772532766407,20000,22022.407056480704
2025,105,ES1 5,ES1 7,25024.67006775514,12467.493384826255,242.46326328995676,0.0093090278287575,True,5000,0.0,0.0,5000,25024.67006775514
2030,105,ES1 5,ES1 7,25024.67006775514,12467.493384826255,242.46326328995676,0.0093090278287575,True,5000,0.0,0.0,10000,25024.67006775514
2040,105,ES1 5,ES1 7,25024.67006775514,12467.493384826255,242.46326328995676,0.0093090278287575,True,5000,0.0,0.0,15000,25024.67006775514
2050,105,ES1 5,ES1 7,25024.67006775514,12467.493384826255,242.46326328995676,0.0093090278287575,True,5000,0.0,0.0,20000,25024.67006775514
2025,106,ES1 7,PT1 0,3172.7706693046694,13131.50358109843,255.3766913605824,0.0098048203032255,True,5000,5000.0,5000.0,5000,8172.770669304669
2030,106,ES1 7,PT1 0,3172.7706693046694,13131.50358109843,255.3766913605824,0.0098048203032255,True,5000,5000.0,10000.0,10000,13172.77066930467
2040,106,ES1 7,PT1 0,3172.7706693046694,13131.50358109843,255.3766913605824,0.0098048203032255,True,5000,5000.0,15000.0,15000,18172.77066930467
2050,106,ES1 7,PT1 0,3172.7706693046694,13131.50358109843,255.3766913605824,0.0098048203032255,True,5000,0.0,15000.0,20000,18172.77066930467
2025,107,ES1 7,PT1 1,1698.1026117405274,22061.02537302793,429.03477374024106,0.0164721722955464,True,5000,5000.0,5000.0,5000,6698.102611740527
2030,107,ES1 7,PT1 1,1698.1026117405274,22061.02537302793,429.03477374024106,0.0164721722955464,True,5000,5000.0,10000.0,10000,11698.102611740527
2040,107,ES1 7,PT1 1,1698.1026117405274,22061.02537302793,429.03477374024106,0.0164721722955464,True,5000,0.0,10000.0,15000,11698.102611740527
2050,107,ES1 7,PT1 1,1698.1026117405274,22061.02537302793,429.03477374024106,0.0164721722955464,True,5000,0.0,10000.0,20000,11698.102611740527
2025,219,PT1 0,PT1 1,11707.970638842582,14480.88201608487,281.61891091997666,0.0108123525324466,True,5000,4433.010309696091,4433.010309696091,5000,16140.980948538672
