year,scenario,CCGT,coal,offwind-ac,onwind,ror,solar,Total
2025,NT,47429445.557901055,42234.51869169424,35452936.48002594,103390563.22752649,37397835.33564296,51522391.54289155,275235406.6626797
2030,NT,32153527.22062728,103973.92740511097,35327539.72650338,107324596.70847853,42057662.79226732,78396485.4672533,295363785.8425349
2040,DE,17114050.991834253,438621.48533830687,13623836.483985582,48217191.748284,14019220.930755774,29482205.25070981,122895126.89090773
2040,GA,11985690.175040634,169955.99854551547,12175895.456634559,42287129.44252036,14019220.930755774,28694445.805136327,109332337.80863316
2040,NT,15915988.492192347,392132.1750211277,13471918.755042702,46838877.318340085,14019220.930755774,29359571.359232903,119997709.03058495
2050,DE,30697957.7187757,1018290.6325775757,22097140.566002928,79173716.6345486,21028831.39613366,44754072.08388038,198770009.03191882
2050,GA,20992217.84203762,394841.87643287797,19894726.68808835,69620530.7218104,21028831.39613366,44375696.43667579,176306844.9611787
