year,AIC,expected_OC,total_cost
2025,2746975176.390004,2338555649.7220135,5085530826.112018
2030,2873181302.18241,2859169351.946174,5732350654.128584
2040,3062084053.6609,4714526538.893287,7776610592.554187
2050,3198643587.367258,5550030429.533661,8748674016.900919
