year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,672,63,9.375
2030,NT,672,33,4.910714285714286
2040,DE,672,5,0.744047619047619
2040,GA,672,8,1.1904761904761905
2040,NT,672,8,1.1904761904761905
2050,DE,672,18,2.6785714285714284
2050,GA,672,8,1.1904761904761905
