year,DE,GA,NT,Average
2025,,,33.65879093023337,33.65879093023337
2030,,,29.319224607923985,29.319224607923985
2040,37.83515225004105,29.96979390875971,34.38420874821277,34.06305163567118
2050,56.73580961265178,34.28363755383735,,45.509723583244565
