year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,9583.152871365308,19,2,171541927.2172432
2030,95000,524.6307088988524,19,1,6889190.032659488
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
