year,AIC,expected_OC,total_cost
2025,4783694610.586478,5287281181.125999,10070975791.712479
2030,2791762934.735795,4356470532.484878,7148233467.220673
2040,1177242767.981687,5558814811.798642,6736057579.780329
2050,407866527.7847799,5964544078.389624,6372410606.174403
