year,scenario,load_shedding,curtailment,load_shedding_cost,curtailment_cost
2025,NT,19982231.45770656,0.0,126887169756.43665,0.0
2030,NT,5998123.251172165,0.0,38088082644.94325,0.0
2040,DE,1307095.954926694,0.0,8300059313.784507,0.0
2040,GA,1260670.640914089,0.0,8005258569.804465,0.0
2040,NT,1299374.8244394884,0.0,8251030135.190751,0.0
2050,DE,0.0,0.0,0.0,0.0
2050,GA,0.0,0.0,0.0,0.0
