bus0,bus1,p_max,capital_cost,length,loss_factor,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
ES1 0,PT1 0,15059.48895148836,26476.10700915651,514.8976708074381,0.02,True,5000,0.0,0.0,5000,15059.48895148836
ES1 0,PT1 0,15059.48895148836,26476.10700915651,514.8976708074381,0.02,True,5000,0.0,0.0,10000,15059.48895148836
ES1 0,PT1 0,15059.48895148836,26476.10700915651,514.8976708074381,0.02,True,5000,0.0,0.0,15000,15059.48895148836
ES1 0,PT1 0,15059.48895148836,26476.10700915651,514.8976708074381,0.02,True,5000,0.0,0.0,20000,15059.48895148836
