run,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Energy Capacity [MWh],Total Production [MWh],Total CO₂ Emissions [tonnes],Load Shedding [MWh],Curtailment [MWh]
0%,246212.6624729653,98314.66309623026,,1263050236.951857,15804617.826729126,10343302.490636898,0.0
100%,179574.94604986312,18057.727222927868,195163.702715328,1290106797.4482207,23093583.63811569,0.0,0.0
20%,405568.1737928277,180062.84119190884,,1235177007.5832505,7902308.913364562,27269401.84897215,0.0
40%,481477.87265277136,231314.4668526225,,1195915800.0255756,0.0,63442620.23840572,0.0
60%,127913.02402348722,7879.690704740122,43306.30093909757,1298163409.5078673,38489306.063525476,0.0,0.0
80%,148014.4130630258,10645.73717349478,85228.28034972347,1294530975.722746,30791444.85082121,0.0,0.0
nb_0%,231231.78780692082,70579.04776483201,962212.0248020448,1272866980.0276728,15391490.079884877,2798956.3162372755,0.0
nb_100%,196308.39548300032,57781.87030356066,,1284109740.7004604,23684212.05442597,756876.4329496087,0.0
nb_20%,318774.70296800806,125136.35225572655,2498103.3712111595,1257287686.2329626,7686511.403283671,12601980.744246636,0.0
nb_40%,402950.8101362807,193879.59573352977,4633689.536012947,1231525356.540598,0.0,34203242.471531816,0.0
nb_60%,132061.1813911532,8234.12185620621,,1297878520.8749394,39506591.149766415,17600.758161689868,0.0
nb_80%,155873.17699351857,10285.009875168023,,1295374706.1758864,31609235.653458267,19833.78539390184,0.0
