year,num_buildout,capacity,cumulative_capacity,investment_cost,cycles_per_year
2025,3,34218.93313361109,34218.93313361109,751410984.2147334,79.6601364088849
2030,0,0.0,34218.93313361109,0.0,103.14581255377298
2040,0,0.0,34218.93313361109,0.0,139.18885299721777
2050,0,0.0,34218.93313361109,0.0,169.10004196762537
