year,num_buildout,capacity,investment_cost,cycles_per_year
2025,3,207583.3857889482,4558307987.372362,39.45688248417416
2030,3,862121.7263265473,14372958290.349056,20.84441919937287
2040,6,1469825.0452527618,13344511566.21196,21.10661096127958
2050,8,2094159.378644689,13709710764.543938,22.9625726141213
