year,scenario,utilization_rate,congestion_rate
2025,NT,0.6511918750660269,0.4994125939849624
2030,NT,0.7178265096431357,0.534578634085213
2040,DE,0.7200069363080541,0.5348527568922307
2040,GA,0.719006948760271,0.534187030075188
2040,NT,0.7199669389481956,0.5351660401002507
2050,DE,0.7184045218377119,0.5327772556390978
2050,GA,0.7177948288376301,0.5332080200501254
