line,bus0,bus1,p_max,capital_cost,length,loss_factor
1,AL1 0,GR1 0,1698.1026117405274,24374.64896799917,474.02928142083897,0.021850271852203795
2,AL1 0,ME1 0,2189.658630928575,9582.652916880637,186.35993823984532,0.00859021894321636
3,AL1 0,MK1 0,0.0,9031.96871162282,175.65043270190375,0.008096566722608162
4,AL1 0,RS1 0,2189.658630928575,18493.623784435324,359.6572490095156,0.01657831904585841
5,AT1 0,CH1 0,6792.41044696211,26675.17374181682,518.769048006004,0.023912541211513937
6,AT1 0,CZ1 0,4379.31726185715,18096.713505006905,351.93828268540534,0.016222515049754464
7,AT1 0,DE1 0,16042.600989864457,31136.338164843582,605.5281463021048,0.027911682103696246
8,AT1 0,HU1 0,4379.31726185715,25631.970534608718,498.4812125857689,0.022977378054722882
9,AT1 0,IT1 0,491.5560191880474,29886.299243926125,581.2178453739341,0.02679110431470977
10,AT1 0,SI1 0,3887.761242669102,11775.562574291018,229.00684529839606,0.01055601841891946
11,BA1 0,HR1 0,5362.429300233244,14134.147283091927,274.87574031923987,0.012670334696516345
12,BA1 0,ME1 0,2681.214650116622,8932.979519355758,173.72532700128872,0.008007829413434805
13,BA1 0,RS1 0,2189.658630928575,13243.66349463878,257.5579364439293,0.01187207446789822
14,BE1 0,FR1 0,9473.625097078731,29538.637478571472,574.456646186002,0.026479448376788797
15,BE1 0,LU1 0,983.1120383760948,10694.532067031432,207.98335834590557,0.009586945572161387
16,BE1 0,NL1 0,6792.41044696211,11864.48534133139,230.73618283336697,0.010635731839048434
17,BG1 0,GR1 0,1698.1026117405274,29229.164701797617,568.4381325169018,0.026202026358845363
18,BG1 0,MK1 0,1698.1026117405274,18405.55470907674,357.9445137589513,0.016499370904250972
19,BG1 0,RO1 0,6792.41044696211,20026.996156773916,389.47771554277773,0.017952886664462653
20,BG1 0,RS1 0,1698.1026117405274,22934.35181036764,446.01890770998443,0.02055914005032543
21,CH1 0,DE1 0,27169.64178784844,30221.82167813931,587.7429632781736,0.027091878139583973
22,CH1 0,FR1 0,9741.746562090395,24800.881301022822,482.3184923467806,0.02223236114345854
23,CH1 0,IT1 0,8267.078504526253,29121.836466751898,566.3508521543545,0.02610581364553634
24,CZ1 0,DE1 0,6792.41044696211,27531.063796616203,535.4140855687788,0.02467979043005722
25,CZ1 0,PL1 0,4379.31726185715,21368.748842727342,415.5716323168003,0.019155679819966034
26,CZ1 0,SK1 0,6077.419873597677,19518.645762364085,379.591502515117,0.01749718392475909
27,DE1 0,DK1 0,4379.31726185715,35585.79770079702,692.0596122242678,0.03190033033340421
28,DE1 0,FR1 0,9473.625097078731,42146.23906012165,819.6446825753129,0.03778133511668874
29,DE1 0,LU1 0,3440.892134316332,17893.31735422776,347.98270854260704,0.01604018375981257
30,DE1 0,NL1 0,13584.82089392422,20071.601402461765,390.34518208922,0.01799287233751146
31,DE1 0,PL1 0,6792.41044696211,43101.066970836626,838.2138274680665,0.0386372756247381
32,DK2 0,SE2 0,3396.205223481055,43759.17098070145,851.0123941799792,0.03922722264475265
33,EE6 0,LV6 0,2010.9109875874663,17349.840494372842,337.41336882886964,0.015552992450973512
34,ES1 0,FR1 0,4379.31726185715,55776.53480210767,1084.7217019247953,0.05
35,ES1 0,PT1 0,15059.48895148836,26476.10700915651,514.8976708074381,0.023734090960555725
36,FI2 0,SE2 0,3396.205223481055,31591.46169581666,614.3792227064511,0.028319670456314266
37,FR1 0,IT1 0,5585.86385440963,48848.23152736844,949.9825872363317,0.04378923117102873
38,GB5 0,IE5 0,983.1120383760948,14847.497289325254,288.7487110151577,0.013309806123671384
39,GR1 0,MK1 0,3396.205223481055,19820.983115371804,385.47124906576823,0.017768209503956866
40,HR1 0,HU1 0,6792.41044696211,19682.10786388554,382.7704538356256,0.017643716962443674
41,HR1 0,RS1 0,1698.1026117405274,24194.327524636934,470.52245577038593,0.02168862552189482
42,HR1 0,SI1 0,6077.419873597677,9398.468872776652,182.77799413921758,0.008425110045041293
43,HU1 0,RO1 0,3396.205223481055,32848.96133057712,638.834616875822,0.029446936285234985
44,HU1 0,RS1 0,1698.1026117405274,23896.857596251073,464.7373691181766,0.021421963269173963
45,HU1 0,SK1 0,3396.205223481055,10293.480447158394,200.18385274356152,0.009227429136355587
46,IT1 0,SI1 0,2189.658630928575,23980.818878490998,466.3702175066649,0.02149722904405386
47,LT6 0,LV6 0,4021.8219751749325,12325.309958761294,239.6981318874075,0.011048830841222811
48,ME1 0,RS1 0,2681.214650116622,12218.164138548025,237.6143990619779,0.010952781650829918
49,MK1 0,RS1 0,3396.205223481055,18735.962363136212,364.37016128459896,0.016795559664660467
50,NO2 0,SE2 0,7283.9664661501565,26314.51318693315,511.75505310118297,0.02358923271255171
51,PL1 0,SK1 0,3396.205223481055,20980.131610965636,408.01394615846385,0.018807309996400897
52,RO1 0,RS1 0,5094.3078352215825,24683.701135029194,480.0396152250767,0.022127316821137884
