year,num_buildout,capacity,investment_cost,cycles_per_year
2025,3,26147.18072933121,574163979.0332619,43.89552813811156
2030,0,26147.18072933121,0.0,59.016639214017815
2040,0,26147.18072933121,0.0,75.6613167227888
2050,0,26147.18072933121,0.0,82.19264535811205
