year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,125252.34967919126,11,7,12949366368.654459,272384900.2538795,12604966.388761766,1071422143.0447502,2160113576.2221413,3231535719.266891,16180902087.92135
2030,192912.81713965908,43574.89606566883,11,4,2657771728.466362,291937707.5645448,10906625.724277608,927063186.5635966,1901427450.6547666,2828490637.2183633,5486262365.684725
2040,192912.81713965908,17441.10889998857,11,1,620939601.6283449,346982884.9437658,16484876.868342482,1401214533.8091109,2891568988.263868,4292783522.072979,4913723123.7013235
2050,192912.81713965908,0.0,11,0,0.0,369370265.38196254,19499187.18324371,1657430910.5757153,3411243929.3581047,5068674839.93382,5068674839.93382
