year,AIC,expected_OC,total_cost
2025,12949366368.654459,3231535719.2668915,16180902087.92135
2030,2657771728.466362,2828490637.2183633,5486262365.684725
2040,620939601.6283449,4292783522.072979,4913723123.7013235
2050,0.0,5279995441.696541,5279995441.696541
