lower_bound,upper_bound,count,percent_of_interval
3.999,4.1,0,0
4.1,4.2,0,0
4.2,4.3,0,0
4.3,4.4,0,0
4.4,4.5,0,0
4.5,4.6,0,0
4.6,4.7,0,0
4.7,4.8,0,0
4.8,4.9,0,0
4.9,5.0,0,0
