Label,Objective Value,Optimality Gap (%),Runtime (s),Build Time (s),Optimize Time (s),Total Time (s),Number of Variables,Number of Constraints,Number of Nonzeros,Number of Integer Variables,Number of Binary Variables,Number of Quadratic Constraints,Model Status
SP,25691745664.57954,,235.6812801361084,25.194689750671387,235.79099774360657,260.98568749427795,346864,240076,655115,0,0,0,2
EV,25457315383.68988,,84.66136121749878,13.046077489852903,84.70209622383118,97.74817371368408,115696,137228,362936,0,0,0,2
EEV,26280411141.42625,,4.73907208442688,25.15340805053711,4.839004278182983,29.992412328720093,346864,240076,655115,0,0,0,2
EVPI,25500947796.46584,,90.36662065982819,15.514517505963644,90.43178995450337,105.94630746046703,269808.0,137233.33333333334,384440.0,0.0,0.0,0.0,2.0
EVPI std,1062329098.3063183,,8.63439609463606,0.9961279925112697,8.636978749474125,8.81102096245932,59687.32094507175,2.065591117977289,8328.46338768443,0.0,0.0,0.0,0.0
