year,num_buildout,capacity,investment_cost,cycles_per_year
2025,2,270.83196299086535,5947178.746723789,237.89406493028713
2030,2,761.5342794784383,10775295.33573352,190.79481897117438
2040,2,7751.0585659318085,153482439.1739436,244.84343111241165
2050,2,34522.87613069646,587880332.4174297,183.04973771783128
