Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
ef025,2025,NT,67.75,50.83
ef025,2030,NT,74.06,53.91
ef025,2040,DE,73.87,54.45
ef025,2040,GA,74.21,54.21
ef025,2040,NT,73.97,54.43
ef025,2050,DE,73.59,54.65
ef025,2050,GA,74.06,54.57
ef050,2025,NT,65.47,50.4
ef050,2030,NT,72.05,54.24
ef050,2040,DE,72.17,53.8
ef050,2040,GA,72.25,54.13
ef050,2040,NT,72.22,53.88
ef050,2050,DE,72.07,54.21
ef050,2050,GA,72.13,54.4
ef075,2025,NT,64.13,51.84
ef075,2030,NT,67.71,52.61
ef075,2040,DE,67.93,52.46
ef075,2040,GA,67.71,52.68
ef075,2040,NT,67.9,52.53
ef075,2050,DE,68.03,52.82
ef075,2050,GA,67.66,53.3
