year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,73025.49769563366,19,17,1330229528.7376797
2030,95000,57342.142305512614,19,13,1071839383.9358716
2040,95000,45356.368577769324,19,10,869777035.0525985
2050,95000,4338.832612993243,19,2,77100813.36012222
