year,AIC,expected_OC,total_cost
2025,4134561336.101516,5406961773.356362,9541523109.457878
2030,3011112324.792202,4486445571.978268,7497557896.77047
2040,1809594519.7151742,5517533787.527081,7327128307.242254
2050,515708812.25099415,6044454488.602396,6560163300.85339
