year,scenario,production,co2_emission,co2_emission_cost,production_cost,production_cost_with_emission
2025,NT,274790664.57239205,20613255.895308003,1649060471.6246402,3757901301.7317224,5406961773.356362
2030,NT,293964628.1835585,16723146.393416665,1337851711.4733331,3148593860.504935,4486445571.978268
2040,DE,367112690.38246,23070919.15355854,1845673532.2846832,4311405429.356795,6157078961.641479
2040,GA,326497061.8589251,17056367.952378575,1364509436.190286,3225585183.9750633,4590094620.165349
2040,NT,358433477.6971266,21704161.122103408,1736332889.7682726,4069094891.0061426,5805427780.774415
2050,DE,396259468.08108544,25508806.59335693,2040704527.4685545,4766537619.345131,6807242146.813685
2050,GA,351422113.94572115,18830320.1216539,1506425609.732312,3561217693.03684,5067643302.769152
