dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,745,1.4397804576376005
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,411,0.7942949907235621
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,89376,10952,12.253848907984247
branch_flow_new_duals_min,89376,35334,39.53410311493018
branch_flow_old_duals_max,89376,10821,12.107277121374866
branch_flow_old_duals_min,89376,34344,38.42642320085929
emissions_duals,7,7,100.0
gen_extension_duals,204,52,25.49019607843137
gen_output_new_duals,239904,132022,55.031179138321995
gen_output_old_duals,239904,131905,54.982409630518866
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51655,99.8279993815708
