year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,192912.81713965908,121000.94563239448,11,7,12528359479.592453,272570297.1997183,13007531.137263762,1040602490.981101,2152064400.281529,3192666891.26263,15721026370.855083
2030,192912.81713965908,37437.35867023351,11,3,2060063801.9881155,292141592.5018053,11666253.240141733,933300259.2113385,1957952259.9312189,2891252519.1425576,4951316321.130673
2040,192912.81713965908,23540.312508004066,11,2,838083883.0113817,347344856.12349457,16283970.616799591,1302717649.3439672,2716440028.3703785,4019157677.714346,4857241560.725728
2050,192912.81713965908,0.0,11,0,0.0,369361912.9123347,18323249.707422413,1465859976.593793,3053893994.3521924,4519753970.945985,4519753970.945985
