year,AIC,expected_OC,total_cost
2025,12528359479.592453,3192666891.26263,15721026370.855083
2030,2060063801.9881155,2891252519.142557,4951316321.130672
2040,1157236194.1806853,4019157677.714346,5176393871.895031
2050,716198156.4485582,4519753970.945985,5235952127.394543
