year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,8767.00108508958,19,2,152686403.03465304
2030,95000,426.2377667655679,19,1,5597142.760681452
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
