year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_co2_emission_cost,total_production_cost,total_production_cost_with_emission,total_cost
2025,48228.20428491477,20019.80247488453,51,24,1948145005.302436,275716687.7592082,7481780.7735308185,598542461.8824655,1308191635.2327564,1906734097.115222,3854879102.417658
2030,48228.20428491477,21011.875999378255,51,25,2132026921.4639926,295782351.21365654,9428099.620919647,754247969.6735717,1645049769.031557,2399297738.7051287,4531324660.169121
2040,48228.20428491477,21721.891077333825,51,25,2263555055.5207977,352822118.04620564,17045982.499113698,1363678599.9290957,2976380825.1504188,4340059425.0795145,6603614480.600312
2050,48228.20428491477,22424.664147853808,51,26,2332910774.7998796,376084863.10325027,20617251.78930617,1649380143.1444938,3643968373.230036,5293348516.374529,7626259291.174408
