carrier,Total Production [MW],New Production [MW],Old Production [MW],Total Production Cost [€],Cost of Buildout [€],Marginal Cost [€/MWh],CO2 Emission Intensity [ton/MWh],Total Production Cost [€] old,Total CO2 Emissions [ton],Total CO2 Cost [€],Total Production Cost With Emissions [€],Total Cost €
CCGT,155621489.16244802,26947750.755677633,128673738.4067704,6066635536.420978,428702935.8509374,40.52039741089527,0.2,6305844586.537725,31124297.832489606,2645565315.7616167,8712200852.182594,9140903788.033531
coal,13826876.319147866,0.0,13826876.319147866,389876012.5747603,0.0,28.196969696969695,0.34,389876012.57476026,4701137.948510275,399596725.6233734,789472738.1981337,789472738.1981337
offwind-ac,30938671.833149347,1144605.6127064375,29794066.22044291,464080.0774972402,66956231.3087627,0.015000000000000001,0.0,464080.0774972403,0.0,0.0,464080.0774972402,67420311.38625994
onwind,54734443.9052456,3625537.1475105607,51108906.757735044,821016.6585786828,164927162.10055768,0.01499999999999999,0.0,821016.6585786835,0.0,0.0,821016.6585786828,165748178.75913638
solar,23145484.201943155,3857580.7003238597,19287903.501619294,231454.84201943158,90479241.09102377,0.01,0.0,231454.84201943155,0.0,0.0,231454.84201943158,90710695.93304321
ror,7466058.312982998,0.0,7466058.312982998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,285733023.7349169,35575474.216218494,250157549.51869854,6458028100.573833,751065570.3512816,68.75736710786497,0.54,6697237150.690581,35825435.780999884,3045162041.38499,9503190141.958824,10254255712.310102
