year,DE,GA,NT,Average
2025,,,22.188251290960494,22.188251290960494
2030,,,25.118010443010856,25.118010443010856
2040,40.06133314634918,32.13725042669707,39.71926482316392,37.30594946540339
2050,56.94211649239,38.323132074628404,,47.6326242835092
