year,DE,GA,NT,Average
2025,,,54.91337597597827,54.91337597597827
2030,,,47.41068561383655,47.41068561383655
2040,50.10261578705126,46.16588759586572,48.39801577751526,48.22217305347741
2050,65.39533872008751,46.647161557629786,,56.02125013885865
