dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,103488,2759,2.666009585652443
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,103488,695,0.6715754483611627
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,2,2.631578947368421
branch_flow_new_duals_max,178752,24724,13.831453634085214
branch_flow_new_duals_min,178752,63170,35.33946473326173
branch_flow_old_duals_max,178752,24647,13.788377192982457
branch_flow_old_duals_min,178752,63188,35.34953455066237
emissions_duals,7,0,0.0
gen_extension_duals,204,101,49.50980392156863
gen_output_new_duals,479808,348342,72.60029011604642
gen_output_old_duals,479808,350691,73.08986094437775
load_shedding_duals,103488,0,0.0
power_balance_duals,103488,103488,100.0
