year,branch,value
2025,88,5000.0
2030,88,5000.0
2040,88,5000.0
2050,88,5000.0
2025,89,4116.096233699416
2030,89,5000.0
2040,89,5000.0
2050,89,1292.9180099079604
2025,90,4090.596344989482
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,5000.0
2030,91,5000.0
2040,91,0.0
2050,91,0.0
2025,92,475.56314855289884
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,5000.0
2030,93,5000.0
2040,93,5000.0
2050,93,72.49038088012094
2025,95,5000.0
2030,95,5000.0
2040,95,5000.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,5000.0
2030,99,5000.0
2040,99,5000.0
2050,99,4917.2985959442085
2025,100,1038.4774455712618
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,5000.0
2030,101,5000.0
2040,101,5000.0
2050,101,0.0
2025,102,5000.0
2030,102,5000.0
2040,102,2937.5393126160197
2050,102,0.0
2025,103,5000.0
2030,103,2511.0775917297206
2040,103,0.0
2050,103,0.0
2025,104,5000.0
2030,104,5000.0
2040,104,5000.0
2050,104,4746.940645543957
2025,105,62.194606760418985
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,5000.0
2030,106,5000.0
2040,106,5000.0
2050,106,2457.6697865730857
2025,107,5000.0
2030,107,5000.0
2040,107,5000.0
2050,107,0.0
2025,219,5000.0
2030,219,160.73363076120222
2040,219,0.0
2050,219,0.0
