bus,x,y,country
ES1 0,-1.336935968967812,37.857622143866294,ES
ES1 1,-3.33805276393631,42.904161216402905,ES
ES1 2,-0.7408359163266865,41.700213946604045,ES
ES1 3,-5.340266531117291,37.24344069831233,ES
ES1 4,-7.55221376353228,42.69113683979726,ES
ES1 5,-3.579550665917224,40.12782769249285,ES
ES1 6,-0.771889738980197,39.43830678813415,ES
ES1 7,-5.578100198768316,40.98670181152151,ES
ES1 8,1.6303567805690613,41.64217732664029,ES
PT1 0,-8.012336731104293,41.02611922761677,PT
PT1 1,-8.74906522289748,39.08002665080315,PT
