,CO2 80,CO2 100,CO2 120,CO2 140,CO2 160,NB CO2 80,NB CO2 100,NB CO2 120,NB CO2 140,NB CO2 160,difference,difference %
Generator Investment [EUR/yr],2317195102.943053,2427754034.245977,2501466361.688455,2556003431.29726,2588818482.9031377,2461247666.694301,2556596045.16122,2615411947.542973,2743926242.104066,2762024597.1928196,110558931.30292416,4.8
Transmission Investment [EUR/yr],101686767.7383703,121613224.09626147,129003574.5255942,133924510.77087472,136688898.02300808,99984307.03661078,116709335.48992953,124410134.18410176,126925664.69768834,130759221.2146889,19926456.357891172,19.6
Battery Investment [EUR/yr],201243774.88394263,187852746.05368334,183695906.25122473,176387581.06635243,170826112.41432223,0.0,0.0,0.0,0.0,0.0,-13391028.830259293,-6.7
CapEx [EUR/yr],2620125645.565366,2737220004.395922,2814165842.4652734,2866315523.134487,2896333493.340468,2561231973.730912,2673305380.65115,2739822081.7270746,2870851906.801754,2892783818.407508,117094358.8305564,4.5
Production Cost [EUR/yr],4617368724.453851,4644037942.61863,4605892860.715195,4577281879.613647,4562283834.863855,4768250047.093643,4747317435.395075,4712600233.660025,4638659835.180416,4626864694.09185,26669218.164779663,0.6
CO2 Cost [EUR/yr],2054043330.2944808,2403261045.651159,2842062288.319368,3290848117.010382,3744851112.045348,2044035994.2742934,2450401738.0409927,2911806561.7807765,3340904320.2003136,3807337955.069347,349217715.356678,17.0
Load Shedding Cost [EUR/yr],0.0,0.0,0.0,0.0,0.0,32469110.46037767,32611320.09436054,25684573.14922788,20513748.381522976,20613374.99126138,0.0,
Curtailment Cost [EUR/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total OpEx [EUR/yr],6671412054.748331,7047298988.269789,7447955149.034562,7868129996.62403,8307134946.909203,6844755151.828315,7230330493.530428,7650091368.59003,8000077903.762253,8454816024.15246,375886933.5214577,5.6
Total System Cost [EUR/yr],9291537700.313698,9784518992.66571,10262120991.499836,10734445519.758518,11203468440.249672,9405987125.559227,9903635874.181578,10389913450.317104,10870929810.564007,11347599842.559967,492981292.35201263,5.3
