run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
CO2 80,9268780411.772211,406747070.9534812,804975099.5357705,10480502582.261463,18469474897.815403,8216173321.177923,0.0,0.0,26685648218.993324,37166150801.25479
CO2 100,9711016136.983908,486452896.3850459,751410984.2147334,10948880017.583689,18576151770.47452,9613044182.604635,0.0,0.0,28189195953.079155,39138075970.66284
CO2 120,10005865446.75382,516014298.1023768,734783625.0048989,11256663369.861094,18423571442.86078,11368249153.277472,0.0,0.0,29791820596.13825,41048483965.999344
CO2 140,10224013725.18904,535698043.0834989,705550324.2654097,11465262092.537949,18309127518.45459,13163392468.041529,0.0,0.0,31472519986.49612,42937782079.03407
CO2 160,10355273931.61255,546755592.0920323,683304449.6572889,11585333973.361872,18249135339.45542,14979404448.181393,0.0,0.0,33228539787.63681,44813873760.99869
NB CO2 80,9844990666.777205,399937228.1464431,0.0,10244927894.923649,19073000188.374573,8176143977.097174,129876441.84151068,0.0,27379020607.31326,37623948502.23691
NB CO2 100,10226384180.64488,466837341.9597181,0.0,10693221522.6046,18989269741.5803,9801606952.16397,130445280.37744217,0.0,28921321974.12171,39614543496.72631
NB CO2 120,10461647790.171892,497640536.73640704,0.0,10959288326.908298,18850400934.6401,11647226247.123106,102738292.59691152,0.0,30600365474.36012,41559653801.26842
NB CO2 140,10975704968.416264,507702658.79075336,0.0,11483407627.207016,18554639340.721664,13363617280.801254,82054993.5260919,0.0,32000311615.04901,43483719242.25603
NB CO2 160,11048098388.771278,523036884.8587556,0.0,11571135273.630032,18507458776.3674,15229351820.277388,82453499.96504553,0.0,33819264096.60984,45390399370.23987
