,CO2 80,CO2 100,CO2 120,CO2 140,CO2 160,NB CO2 80,NB CO2 100,NB CO2 120,NB CO2 140,NB CO2 160,difference,difference %
Generator Investment [EUR],9268780411.772211,9711016136.983908,10005865446.75382,10224013725.18904,10355273931.61255,9844990666.777205,10226384180.64488,10461647790.171892,10975704968.416264,11048098388.771278,442235725.2116966,4.8
Transmission Investment [EUR],406747070.9534812,486452896.3850459,516014298.1023768,535698043.0834989,546755592.0920323,399937228.1464431,466837341.9597181,497640536.73640704,507702658.79075336,523036884.8587556,79705825.43156469,19.6
Battery Investment [EUR],804975099.5357705,751410984.2147334,734783625.0048989,705550324.2654097,683304449.6572889,0.0,0.0,0.0,0.0,0.0,-53564115.32103717,-6.7
CapEx [EUR],10480502582.261463,10948880017.583689,11256663369.861094,11465262092.537949,11585333973.361872,10244927894.923649,10693221522.6046,10959288326.908298,11483407627.207016,11571135273.630032,468377435.3222256,4.5
Production Cost [EUR],18469474897.815403,18576151770.47452,18423571442.86078,18309127518.45459,18249135339.45542,19073000188.374573,18989269741.5803,18850400934.6401,18554639340.721664,18507458776.3674,106676872.65911865,0.6
CO2 Cost [EUR],8216173321.177923,9613044182.604635,11368249153.277472,13163392468.041529,14979404448.181393,8176143977.097174,9801606952.16397,11647226247.123106,13363617280.801254,15229351820.277388,1396870861.426712,17.0
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,0.0,129876441.84151068,130445280.37744217,102738292.59691152,82054993.5260919,82453499.96504553,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total OpEx [EUR],26685648218.993324,28189195953.079155,29791820596.13825,31472519986.49612,33228539787.63681,27379020607.31326,28921321974.12171,30600365474.36012,32000311615.04901,33819264096.60984,1503547734.0858307,5.6
Total System Cost [EUR],37166150801.25479,39138075970.66284,41048483965.999344,42937782079.03407,44813873760.99869,37623948502.23691,39614543496.72631,41559653801.26842,43483719242.25603,45390399370.23987,1971925169.4080505,5.3
