,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Capacity [MW],Total Production [MWh/year],CO₂ Emissions [tonnes/year],Load Shedding [MWh/year],Curtailment [MWh/year]
CO2 100,95048.10333833707,28916.777851792438,17109.466566805546,331133334.83350426,24032610.456511587,0.0,0.0
CO2 120,96598.55748999231,30716.429414340422,16730.86517226747,331012357.2320366,23683852.402661398,0.0,0.0
CO2 140,97766.41595044981,31798.081460593457,16065.229199215564,330944482.16840774,23506057.978645585,0.0,0.0
CO2 160,98877.58105994736,32286.75345149838,15558.695416967552,330906165.2563867,23405319.45028343,0.0,0.0
CO2 80,92111.0127085661,24288.659927779383,18329.10995706494,331455986.2866528,25675541.62868101,0.0,0.0
NB CO2 100,101446.3142510796,27576.333898359575,,331504139.7895399,24504017.380409926,5135.640959741817,0.0
NB CO2 120,102305.94422409641,29295.452836957422,,331343889.5686672,24265054.68150647,4044.814669169745,0.0
NB CO2 140,104940.78461375393,29850.31930778885,,331286732.8444705,23863602.287145097,3230.5115561453504,0.0
NB CO2 160,105684.86647728767,30669.383990008835,,331217580.6507541,23795862.219183423,3246.2007860254143,0.0
NB CO2 80,98969.88717000785,23777.34438744918,,331819745.4285424,25550449.928428672,5113.2457417917585,0.0
Difference,1550.4541516552417,1799.6515625479842,-378.6013945380764,-120977.60146766901,-348758.05385018885,0.0,0.0
Difference (%),1.6312310263953216,6.223554960970282,-2.2128182258622213,-0.03653440736448272,-1.4511867301360664,,
