run,Generator Investment [EUR/yr],Transmission Investment [EUR/yr],Battery Investment [EUR/yr],CapEx [EUR/yr],Production Cost [EUR/yr],CO2 Cost [EUR/yr],Load Shedding Cost [EUR/yr],Curtailment Cost [EUR/yr],Total OpEx [EUR/yr],Total System Cost [EUR/yr]
CO2 80,2317195102.943053,101686767.7383703,201243774.88394263,2620125645.565366,4617368724.453851,2054043330.2944808,0.0,0.0,6671412054.748331,9291537700.313698
CO2 100,2427754034.245977,121613224.09626147,187852746.05368334,2737220004.395922,4644037942.61863,2403261045.651159,0.0,0.0,7047298988.269789,9784518992.66571
CO2 120,2501466361.688455,129003574.5255942,183695906.25122473,2814165842.4652734,4605892860.715195,2842062288.319368,0.0,0.0,7447955149.034562,10262120991.499836
CO2 140,2556003431.29726,133924510.77087472,176387581.06635243,2866315523.134487,4577281879.613647,3290848117.010382,0.0,0.0,7868129996.62403,10734445519.758518
CO2 160,2588818482.9031377,136688898.02300808,170826112.41432223,2896333493.340468,4562283834.863855,3744851112.045348,0.0,0.0,8307134946.909203,11203468440.249672
NB CO2 80,2461247666.694301,99984307.03661078,0.0,2561231973.730912,4768250047.093643,2044035994.2742934,32469110.46037767,0.0,6844755151.828315,9405987125.559227
NB CO2 100,2556596045.16122,116709335.48992953,0.0,2673305380.65115,4747317435.395075,2450401738.0409927,32611320.09436054,0.0,7230330493.530428,9903635874.181578
NB CO2 120,2615411947.542973,124410134.18410176,0.0,2739822081.7270746,4712600233.660025,2911806561.7807765,25684573.14922788,0.0,7650091368.59003,10389913450.317104
NB CO2 140,2743926242.104066,126925664.69768834,0.0,2870851906.801754,4638659835.180416,3340904320.2003136,20513748.381522976,0.0,8000077903.762253,10870929810.564007
NB CO2 160,2762024597.1928196,130759221.2146889,0.0,2892783818.407508,4626864694.09185,3807337955.069347,20613374.99126138,0.0,8454816024.15246,11347599842.559967
