run,Generator Capacity [MW],Transmission Line Capacity [MW],Battery Energy Capacity [MWh],Total Production [MWh],Total CO₂ Emissions [tonnes],Load Shedding [MWh],Curtailment [MWh]
CO2 100,95048.10333833707,28916.777851792438,34218.93313361109,1324533339.334017,96130441.82604635,0.0,0.0
CO2 120,96598.55748999231,30716.429414340422,33461.73034453494,1324049428.9281464,94735409.61064559,0.0,0.0
CO2 140,97766.41595044981,31798.081460593457,32130.45839843113,1323777928.673631,94024231.91458234,0.0,0.0
CO2 160,98877.58105994736,32286.75345149838,31117.390833935104,1323624661.0255468,93621277.80113372,0.0,0.0
CO2 80,92111.0127085661,24288.659927779383,36658.21991412988,1325823945.1466112,102702166.51472405,0.0,0.0
NB CO2 100,101446.3142510796,27576.333898359575,,1326016559.1581595,98016069.5216397,20542.563838967268,0.0
NB CO2 120,102305.94422409641,29295.452836957422,,1325375558.2746687,97060218.72602588,16179.25867667898,0.0
NB CO2 140,104940.78461375393,29850.31930778885,,1325146931.377882,95454409.14858039,12922.046224581401,0.0
NB CO2 160,105684.86647728767,30669.383990008835,,1324870322.6030164,95183448.87673369,12984.803144101657,0.0
NB CO2 80,98969.88717000785,23777.34438744918,,1327278981.7141695,102201799.71371469,20452.982967167034,0.0
