Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
CO2 100,2025,NT,66.4,49.41
CO2 100,2030,NT,73.13,53.03
CO2 100,2040,DE,73.0,53.81
CO2 100,2040,GA,73.21,53.36
CO2 100,2040,NT,73.07,53.63
CO2 100,2050,DE,72.96,54.48
CO2 100,2050,GA,73.18,53.73
CO2 120,2025,NT,66.7,49.51
CO2 120,2030,NT,74.17,53.33
CO2 120,2040,DE,74.05,54.56
CO2 120,2040,GA,74.23,53.6
CO2 120,2040,NT,74.1,54.26
CO2 120,2050,DE,73.98,55.13
CO2 120,2050,GA,74.19,54.19
CO2 140,2025,NT,67.41,49.68
CO2 140,2030,NT,74.7,53.39
CO2 140,2040,DE,74.57,54.84
CO2 140,2040,GA,74.73,53.79
CO2 140,2040,NT,74.62,54.5
CO2 140,2050,DE,74.43,55.33
CO2 140,2050,GA,74.67,54.44
CO2 160,2025,NT,67.76,49.74
CO2 160,2030,NT,74.84,53.33
CO2 160,2040,DE,74.67,54.66
CO2 160,2040,GA,74.87,53.89
CO2 160,2040,NT,74.73,54.39
CO2 160,2050,DE,74.57,55.13
CO2 160,2050,GA,74.81,54.34
CO2 80,2025,NT,64.94,49.69
CO2 80,2030,NT,70.3,52.09
CO2 80,2040,DE,70.27,52.07
CO2 80,2040,GA,70.39,51.82
CO2 80,2040,NT,70.28,52.04
CO2 80,2050,DE,70.37,52.67
CO2 80,2050,GA,70.38,52.13
NB CO2 100,2025,NT,66.17,49.09
NB CO2 100,2030,NT,73.36,53.65
NB CO2 100,2040,DE,73.44,53.89
NB CO2 100,2040,GA,73.52,53.89
NB CO2 100,2040,NT,73.48,54.09
NB CO2 100,2050,DE,73.33,53.92
NB CO2 100,2050,GA,73.43,53.96
NB CO2 120,2025,NT,66.84,49.22
NB CO2 120,2030,NT,74.24,53.98
NB CO2 120,2040,DE,74.35,54.3
NB CO2 120,2040,GA,74.51,54.48
NB CO2 120,2040,NT,74.39,54.25
NB CO2 120,2050,DE,74.21,54.16
NB CO2 120,2050,GA,74.41,54.23
NB CO2 140,2025,NT,67.23,49.27
NB CO2 140,2030,NT,74.46,53.98
NB CO2 140,2040,DE,74.59,54.51
NB CO2 140,2040,GA,74.79,54.72
NB CO2 140,2040,NT,74.64,54.46
NB CO2 140,2050,DE,74.45,54.53
NB CO2 140,2050,GA,74.67,54.51
NB CO2 160,2025,NT,67.83,49.56
NB CO2 160,2030,NT,74.8,54.14
NB CO2 160,2040,DE,74.91,54.82
NB CO2 160,2040,GA,75.15,55.0
NB CO2 160,2040,NT,74.98,54.87
NB CO2 160,2050,DE,74.75,54.75
NB CO2 160,2050,GA,75.03,54.9
NB CO2 80,2025,NT,65.12,49.94
NB CO2 80,2030,NT,71.78,53.46
NB CO2 80,2040,DE,72.0,53.49
NB CO2 80,2040,GA,71.9,53.42
NB CO2 80,2040,NT,72.0,53.52
NB CO2 80,2050,DE,71.84,53.28
NB CO2 80,2050,GA,71.78,53.32
