year,scenario,count_total,count_bucket,percent_bucket_of_total
2025,NT,7392,0,0.0
2030,NT,7392,17,0.229978354978355
2040,DE,7392,99,1.3392857142857142
2040,GA,7392,73,0.9875541125541126
2040,NT,7392,50,0.6764069264069263
2050,DE,7392,90,1.2175324675324677
2050,GA,7392,214,2.8950216450216453
