dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1056,2.0408163265306123
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,1093,2.112322201607916
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,89376,10152,11.358754027926961
branch_flow_new_duals_min,89376,34193,38.25747404224848
branch_flow_old_duals_max,89376,10128,11.331901181525241
branch_flow_old_duals_min,89376,34179,38.24180988184748
emissions_duals,7,0,0.0
gen_extension_duals,204,37,18.137254901960784
gen_output_new_duals,239904,144025,60.0344304388422
gen_output_old_duals,239904,144013,60.02942843804189
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
