,dc10,dc50,dc100,dc250,dc500,difference,difference %
Generator Investment [EUR],8044705182.328785,8041369951.1913395,8037162164.321866,8024141895.224738,8002094269.006721,-3335231.13744545,-0.0
Transmission Investment [EUR],240641164.61973357,240808100.52110785,241141219.09662592,243139338.07271367,246351539.605276,166935.90137428045,0.1
Battery Investment [EUR],882262233.2192084,882262687.9496,882263457.6702471,882218312.1829643,882164106.4501572,454.73039162158966,0.0
CapEx [EUR],9167608580.167728,9164440739.662048,9160566841.08874,9149499545.480415,9130609915.062157,-3167840.505680084,-0.0
Production Cost [EUR],14695043423.888529,14694898595.77165,14694654639.288437,14692514917.033625,14687983448.11856,-144828.11687850952,-0.0
CO2 Cost [EUR],6472607002.448047,6472550706.970632,6472455964.510707,6473002572.551425,6475166118.945918,-56295.47741508484,-0.0
Load Shedding Cost [EUR],0.0,0.0,0.0,0.0,0.0,0.0,
Curtailment Cost [EUR],0.0,0.0,0.0,0.0,0.0,0.0,
Total OpEx [EUR],21167650426.33657,21167449302.742283,21167110603.799145,21165517489.58505,21163149567.06448,-201123.5942878723,-0.0
Total System Cost [EUR],30335259006.504303,30331890042.40433,30327677444.88789,30315017035.065468,30293759482.126637,-3368964.0999717712,-0.0
