run,Generator Investment [EUR],Transmission Investment [EUR],Battery Investment [EUR],CapEx [EUR],Production Cost [EUR],CO2 Cost [EUR],Load Shedding Cost [EUR],Curtailment Cost [EUR],Total OpEx [EUR],Total System Cost [EUR]
dc10,8044705182.328785,240641164.61973357,882262233.2192084,9167608580.167728,14695043423.888529,6472607002.448047,0.0,0.0,21167650426.33657,30335259006.504303
dc50,8041369951.1913395,240808100.52110785,882262687.9496,9164440739.662048,14694898595.77165,6472550706.970632,0.0,0.0,21167449302.742283,30331890042.40433
dc100,8037162164.321866,241141219.09662592,882263457.6702471,9160566841.08874,14694654639.288437,6472455964.510707,0.0,0.0,21167110603.799145,30327677444.88789
dc250,8024141895.224738,243139338.07271367,882218312.1829643,9149499545.480415,14692514917.033625,6473002572.551425,0.0,0.0,21165517489.58505,30315017035.065468
dc500,8002094269.006721,246351539.605276,882164106.4501572,9130609915.062157,14687983448.11856,6475166118.945918,0.0,0.0,21163149567.06448,30293759482.126637
