year,num_buildout,capacity,investment_cost,cycles_per_year
2025,3,40173.374099709916,882164106.4501572,67.54721778186888
2030,0,40173.374099709916,0.0,68.27140017299455
2040,0,40173.374099709916,0.0,99.5840609090702
2050,0,40173.374099709916,0.0,125.20781023304853
