scenario,year,dual_value
NT,2025,-0.001253972202789555
NT,2030,-0.0015307211344293137
NT,2040,-0.00020229082601019854
GA,2040,-0.001696292315870096
DE,2040,-0.0002534652293348927
GA,2050,-7.86708471878228e-05
DE,2050,-0.0009254236692299855
