year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,11974.609910851612,19,3,204332924.1174816
2030,95000,5237.932856242426,19,2,80709810.36371386
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
