,lower_bound,upper_bound,count,percent_of_interval
0,0.999,1.1,0,0.0
1,1.1,1.2,0,0.0
2,1.2,1.3,0,0.0
3,1.3,1.4,0,0.0
4,1.4,1.5,50,90.9090909090909
5,1.5,1.6,5,9.090909090909092
6,1.6,1.7,0,0.0
7,1.7,1.8,0,0.0
8,1.8,1.9,0,0.0
9,1.9,2.0,0,0.0
