year,CCGT,coal,offwind-ac,onwind,ror,solar
2025,46425040.46282837,973765.5879948108,36467541.28866831,102345963.11377613,37397835.33564296,51520828.96679834
2030,32783486.03939028,831949.4837331162,38853668.894222915,108050649.90978572,37397835.33564296,77383774.29488291
2040,48611609.049453825,2029697.710957253,44304220.38408689,139273374.85447818,37397835.335642956,80532040.37799877
2050,58678039.53319091,2670203.5404036404,46895412.208647475,148606336.0030173,37397835.33564296,81050623.43578275
